gene	transcript	KMS11_EXP	MM1S_EXP	RPMI_EXP
CDKN2C	CDKN2C	11.78127774	0	0
KIAA0125	KIAA0125	11.37236449	0	0
TSPYL5	TSPYL5	10.60549804	0	0
EN2	EN2	9.054685709	0	0
RERG	RERG	8.619695447	0	0
TBX18	TBX18	7.93892089	0	0
PCSK1N	PCSK1N	7.899084976	0	0
MYO3A	MYO3A	7.612846387	0	0
MPDZ	MPDZ	7.525841807	0	0
ZFP30	ZFP30	7.518346292	0	0
NPTX2	NPTX2	7.495631212	0	0
SLITRK2	SLITRK2	7.43325159	0	0
SOX21	SOX21	7.325755173	0	0
COL22A1	COL22A1	7.20026108	0	0
PGLYRP4	PGLYRP4	7.190861741	0	0
CPEB1	CPEB1	7.052459369	0	0
COL6A2	COL6A2	7.020991047	0	0
LOC100505738	LOC100505738	6.899356923	0	0
AGT	AGT	6.864322358	0	0
HOXC13	HOXC13	6.828428485	0	0
MCOLN3	MCOLN3	6.753818443	0	0
GLRB	GLRB	6.675138451	0	0
ADARB2	ADARB2	6.620194894	0	0
ZNF835	ZNF835	6.472924738	0	0
C14orf23	C14orf23	6.409531804	0	0
KIAA1644	KIAA1644	6.343226586	0	0
CA10	CA10	6.308894156	0	0
ZFPM2	ZFPM2	6.291417537	0	0
CHGB	CHGB	6.219309878	0	0
FOXG1	FOXG1	6.219309878	0	0
BTNL9	BTNL9	6.083740983	0	0
LHFPL4	LHFPL4	6.000142008	0	0
PAX9	PAX9	5.956451666	0	0
TMX2-CTNND1	TMX2-CTNND1	5.897663974	0	0
GPRASP2	GPRASP2	5.767789846	0	0
SPOCK3	SPOCK3	5.741607204	0	0
OLFML2A	OLFML2A	5.689184523	0	0
NKX6-1	NKX6-1	5.662242535	0	0
BICC1	BICC1	5.606797528	0	0
NOVA1	NOVA1	5.578256441	0	0
DLX6-AS1	DLX6-AS1	5.489077247	0	0
TMEM47	TMEM47	5.292251682	0	0
PRTN3	PRTN3	5.256671032	0	0
PTPLA	PTPLA	5.256671032	0	0
OR13A1	OR13A1	5.220186762	0	0
PON3	PON3	5.220186762	0	0
C5orf38	C5orf38	5.182759823	0	0
MMP9	MMP9	5.144331943	0	0
SNAP25	SNAP25	5.144331943	0	0
DPYSL5	DPYSL5	5.104856607	0	0
PGLYRP3	PGLYRP3	5.022505417	0	0
HOXA5	HOXA5	4.979499508	0	0
TBX20	TBX20	4.979499508	0	0
ARL2-SNX15	ARL2-SNX15	4.966997946	0	0
HOXA4	HOXA4	4.935167407	0	0
HS3ST3B1	HS3ST3B1	4.842204495	0	0
SIM1	SIM1	4.842204495	0	0
CFHR3	CFHR3	4.793370509	0	0
SHBG	SHBG	4.793360103	0	0
SERTAD4	SERTAD4	4.742830834	0	0
LOC100507387	LOC100507387	4.69045062	0	0
HMX2	HMX2	4.636102546	0	0
INSRR	INSRR	4.636102546	0	0
CADM2	CADM2	4.579626696	0	0
GZMK	GZMK	4.579626696	0	0
IBSP	IBSP	4.579626696	0	0
PTPRZ1	PTPRZ1	4.579626696	0	0
CD24	CD24	4.520843366	0	0
