gene	probe	Basal_TNBC_avg	LumA_TNBC_Avg	LumB_TNBC_Avg
TSPAN6	ENSG00000000003.13	3.868052704	4.3770556	3.430717468
TNMD	ENSG00000000005.5	0.369232709	0.685581001	0.342322168
DPM1	ENSG00000000419.11	5.221060152	5.390596812	5.210217408
SCYL3	ENSG00000000457.12	2.138798521	3.007459596	2.740514882
C1orf112	ENSG00000000460.15	2.078905194	1.427015078	2.052405308
FGR	ENSG00000000938.11	1.961159466	2.385359837	2.193318297
CFH	ENSG00000000971.14	2.405625802	3.464990365	3.226105827
FUCA2	ENSG00000001036.12	4.647974468	4.166903867	4.606363339
GCLC	ENSG00000001084.9	2.488976357	2.385134951	2.44761949
NFYA	ENSG00000001167.13	4.396408999	3.959633642	3.924064441
STPG1	ENSG00000001460.16	1.310768721	1.277284161	1.229918412
NIPAL3	ENSG00000001461.15	2.692640557	2.724551905	2.301103798
LAS1L	ENSG00000001497.15	3.576237603	3.179394592	3.463307086
ENPP4	ENSG00000001561.6	2.311390222	3.409203628	2.976767538
SEMA3F	ENSG00000001617.10	3.260399974	4.433410106	4.702442662
CFTR	ENSG00000001626.13	0.174635689	0.559095725	0.018316197
ANKIB1	ENSG00000001629.8	3.528026895	3.598871924	3.499435344
CYP51A1	ENSG00000001630.14	0.957998222	0.721807596	1.007284764
KRIT1	ENSG00000001631.13	2.753043064	3.290271192	2.719007232
RAD52	ENSG00000002016.15	1.64692593	2.243004026	1.520500866
MYH16	ENSG00000002079.11	0.121357978	0.040885015	0.021615243
BAD	ENSG00000002330.12	4.016030645	3.686518942	3.883932517
LAP3	ENSG00000002549.11	5.079678159	5.026677822	6.026487782
CD99	ENSG00000002586.16	5.567272986	5.280431467	5.413286006
HS3ST1	ENSG00000002587.8	1.029346311	1.332978623	1.051994241
AOC1	ENSG00000002726.18	0.507606182	0.097959604	0.511022108
WNT16	ENSG00000002745.11	0.089106516	0.047092529	0.04169561
HECW1	ENSG00000002746.13	0.104070843	0.055439417	0.025831213
MAD1L1	ENSG00000002822.14	2.331956663	1.78579505	1.670876043
LASP1	ENSG00000002834.16	5.003814038	4.975542808	5.708873589
SNX11	ENSG00000002919.13	2.914331272	3.101775408	3.517363577
TMEM176A	ENSG00000002933.6	3.581584423	3.14590272	4.514096362
M6PR	ENSG00000003056.6	4.405360011	4.4764254	4.758378887
KLHL13	ENSG00000003096.12	1.111850741	2.749066322	1.106502435
CYP26B1	ENSG00000003137.7	1.48294552	1.721145004	0.927665891
ICA1	ENSG00000003147.16	2.829076594	4.180852476	3.032121711
DBNDD1	ENSG00000003249.12	3.489004365	2.402421933	2.936583962
ALS2	ENSG00000003393.13	1.936819393	2.151172215	2.528277034
CASP10	ENSG00000003400.13	1.257236048	1.939772716	1.241427941
CFLAR	ENSG00000003402.18	2.563806497	3.050967981	2.736209164
TFPI	ENSG00000003436.13	1.166004363	2.44761882	1.276737448
NDUFAF7	ENSG00000003509.14	2.301044182	2.27073693	2.153396387
RBM5	ENSG00000003756.15	2.789064064	3.822981942	2.844557419
MTMR7	ENSG00000003987.12	0.490583236	0.4827428	1.041739345
SLC7A2	ENSG00000003989.15	0.970291458	4.333668232	4.577941435
ARF5	ENSG00000004059.9	6.431128057	6.139086053	5.573528466
SARM1	ENSG00000004139.12	0.484843935	0.77666172	0.356527153
