gene	probe	Basal_Avg	LumA_Avg	LumB_Avg
TSPAN6	ENSG00000000003.13	3.828780794	3.563010286	3.05402438
TNMD	ENSG00000000005.5	0.370069574	0.567661108	0.302811918
DPM1	ENSG00000000419.11	5.215884158	4.74751454	5.086949481
SCYL3	ENSG00000000457.12	2.158462373	2.648492757	2.546019808
C1orf112	ENSG00000000460.15	2.068262367	1.427145067	1.71142793
FGR	ENSG00000000938.11	1.942560213	1.794805906	1.577374104
CFH	ENSG00000000971.14	2.422673246	2.861353716	2.502416816
FUCA2	ENSG00000001036.12	4.59850383	4.290881342	4.555450092
GCLC	ENSG00000001084.9	2.464548067	2.572827252	2.610701251
NFYA	ENSG00000001167.13	4.322785594	3.795433928	3.946597439
STPG1	ENSG00000001460.16	1.300494702	1.252616284	1.220275111
NIPAL3	ENSG00000001461.15	2.704070801	2.678830899	2.473831728
LAS1L	ENSG00000001497.15	3.558306926	3.388516635	3.523575929
ENPP4	ENSG00000001561.6	2.304180701	2.937129647	2.777774912
SEMA3F	ENSG00000001617.10	3.258388152	4.640490145	4.743449385
CFTR	ENSG00000001626.13	0.207394243	0.113650645	0.074655943
ANKIB1	ENSG00000001629.8	3.56863444	3.459799634	3.634418691
CYP51A1	ENSG00000001630.14	0.940949215	1.16097158	1.175623341
KRIT1	ENSG00000001631.13	2.760848287	2.780178687	2.817181226
RAD52	ENSG00000002016.15	1.64493414	1.664832786	1.62089708
MYH16	ENSG00000002079.11	0.144699953	0.062918576	0.061698812
BAD	ENSG00000002330.12	4.000265277	4.394734737	4.195378166
LAP3	ENSG00000002549.11	5.149469479	4.957380064	5.058968962
CD99	ENSG00000002586.16	5.567564353	5.732460353	5.480975947
HS3ST1	ENSG00000002587.8	0.941596897	0.634298131	0.589779922
AOC1	ENSG00000002726.18	0.550389161	0.31497058	0.522932634
WNT16	ENSG00000002745.11	0.092502295	0.059187968	0.043435451
HECW1	ENSG00000002746.13	0.102902649	0.067546102	0.065457886
MAD1L1	ENSG00000002822.14	2.347970888	2.147929869	2.087935919
LASP1	ENSG00000002834.16	4.994379117	5.813117326	5.871916427
SNX11	ENSG00000002919.13	2.928532307	3.123648187	3.27440755
TMEM176A	ENSG00000002933.6	3.558269738	3.366140808	3.126470528
M6PR	ENSG00000003056.6	4.402121411	4.364375991	4.385307605
KLHL13	ENSG00000003096.12	1.114773551	1.142692345	0.655420029
