gene	cnv_id	KMS11_CNV	MM1S_CNV	RPMI_CNV
1-Mar	4:164613808:164622810	0.953376	2.2497	1.79609
15-Sep	1:87122399:88231174	1.67596	2.08417	1.79956
AACSP1	5:178125947:178259240	1.661	1.9784	1.8895
ABCA11P	4:11525:559937	1.64352	2.03796	1.83265
ABCC8	11:17373978:18098884	1.68944	1.945	1.7965
ABCG2	4:89024974:89028511	1.32502	2.18897	1.85188
ABHD14A	3:51607294:52968763	1.66753	1.99747	2.06588
ABHD14A-ACY1	3:51607294:52968763	1.66753	1.99747	2.06588
ABHD14B	3:51607294:52968763	1.66753	1.99747	2.06588
ABLIM3	5:147792151:148865536	1.6768	2.04983	1.89708
ACAA1	3:37454107:38176720	1.65745	2.04981	2.03965
ACADM	1:75042346:76344001	1.68585	2.25956	1.82705
ACADVL	17:7082224:7336565	1.26521	1.91588	1.7873
ACAP1	17:7082224:7336565	1.26521	1.91588	1.7873
ACMSD	2:135071015:136658373	1.65333	2.08584	2.07442
ACOXL	2:111387399:112021204	1.26798	2.08047	2.09757
ACP1	2:15672:382933	1.68206	2.05421	2.04422
ACP2	11:46872549:47375476	1.67603	1.97122	2.21089
ACSL5	10:114119183:114155706	1.57822	2.01644	1.80666
ACTR1B	2:98156083:101009015	1.65462	2.05963	2.07677
ACTR3	2:114264452:114841912	1.69998	2.02783	2.04608
ACVR2A	2:147954498:148631851	1.65719	2.14487	2.12552
ACVR2B	3:38277483:39908110	1.66493	2.05372	2.06214
ACY1	3:51607294:52968763	1.66753	1.99747	2.06588
ADAM2	8:39695072:39806723	1.65263	2.03669	1.84392
ADAM28	8:23924122:24592762	1.66701	2.12495	1.76324
ADAM32	8:38857139:39200842	1.65263	2.23857	1.84392
ADAM7	8:23924122:24592762	1.66701	2.12495	1.76324
ADAM9	8:38466185:38857139	1.65263	2.00175	1.84392
ADAM9	8:38857139:39200842	1.65263	2.23857	1.84392
ADAMDEC1	8:23924122:24592762	1.66701	2.12495	1.76324
